cnpj_basic;cnpj_ordem;cnpj_dv;identifica;nome_fanta;situacao_c;data_situa;motivo_sit;data_inici;cnae_fisca;cnae_fis_1;tipo_logra;logradouro;numero;bairro;cep;cidade;estado;complement;uf;codigo_mun;ddd_1;telefone_1;endereco;Latitude;Longitude
23684961;1;68;1;-;2;20210420;0;20151117;4723700;4732600,4742300,4789099,4744004,4541207,4744003,4763604,5612100,4741500,4743100,4744099;AVENIDA;PROFESSORA CARMEM CARNEIRO;1856;PARQUE AEROPORTO;28090115;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;98956389;AVENIDA, PROFESSORA CARMEM CARNEIRO, 1856, PARQUE AEROPORTO;-21.716;-41.308
23696394;1;60;1;ESPACO COMPARTILHADO;2;20151119;0;20151119;4781400;5611203,478;AVENIDA;PELINCA;252;PARQUE TAMANDARE;28035053;Campos dos Goytacazes;Rio de Janeiro;LOJA 02;RJ;5819;22;27242982;AVENIDA, PELINCA, 252, PARQUE TAMANDARE;-21.759;-41.336
23759295;1;80;1;GUSMAO ENGENHARIA;2;20151127;0;20151127;7112000;7119799,3314702,3314701,3311200,7119703;AVENIDA;VINTE E OITO DE MARCO;1080;CENTRO;28020740;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27353724;AVENIDA, VINTE E OITO DE MARCO, 1080, CENTRO;-21.758;-41.340
23786772;1;4;1;-;2;20151203;0;20151203;4744099;4744003,4763604,4763601;AVENIDA;SENADOR JOSE CARLOS PEREIRA PINTO;632;PARQUE CALABOUCO;28083102;Campos dos Goytacazes;Rio de Janeiro;LOJA 03;RJ;5819;22;92116744;AVENIDA, SENADOR JOSE CARLOS PEREIRA PINTO, 632, PARQUE CALABOUCO;-21.736;-41.315
23795514;1;86;1;-;2;20151205;0;20151205;4781400;-;RUA;MARGEM DA LINHA;29;TRAVESSAO;28175000;Campos dos Goytacazes;Rio de Janeiro;LOJA;RJ;5819;22;99919319;RUA, MARGEM DA LINHA, 29, TRAVESSAO;-21.609;-41.314
23816641;1;14;1;NATANA CRESPO - ESTETICA E TRICOLOGIA;2;20151209;0;20151209;9602502;4772500,7319003,7319099,8230001,8599604,8650001;RUA;SALDANHA MARINHO;458;CENTRO;28010272;Campos dos Goytacazes;Rio de Janeiro;SALA 411;RJ;5819;22;99336746;RUA, SALDANHA MARINHO, 458, CENTRO;-21.762;-41.325
23826452;1;22;1;CINTILANTE JOIAS;2;20151211;0;20151211;4783101;9529106;RUA;JOAO PESSOA;158;CENTRO;28010250;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27238482;RUA, JOAO PESSOA, 158, CENTRO;-21.758;-41.324
23847233;1;20;1;-;2;20151215;0;20151215;9700500;4321500,333;RUA;CALDAS VIANA;107;PARQUE CALIFORNIA;28015300;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;98550150;RUA, CALDAS VIANA, 107, PARQUE CALIFORNIA;-21.765;-41.310
23850326;1;3;1;-;2;20151216;0;20151216;4732600;4530703;AVENIDA;ALBERTO TORRES;955;PARQUE LEOPOLDINA;28053586;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99774139;AVENIDA, ALBERTO TORRES, 955, PARQUE LEOPOLDINA;-21.745;-41.354
23853629;1;80;1;-;2;20151216;0;20151216;9609208;-;RUA;CAPITAO HENRIQUE MARTINS;109;PARQUE VERA CRUZ;28060050;Campos dos Goytacazes;Rio de Janeiro;CASA 01;RJ;5819;22;99471648;RUA, CAPITAO HENRIQUE MARTINS, 109, PARQUE VERA CRUZ;-21.735;-41.330
23888912;1;47;1;SUPERMERCADO WITT;2;20151228;0;20151228;4729699;4721103;ESTRADA;DE RIO PRETO;67;MORANGABA;28125000;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;81700204;ESTRADA, DE RIO PRETO, 67, MORANGABA;-21.756;-41.326
23909768;1;88;1;-;2;20160105;0;20160105;4930202;4930204,493;RUA;BENEDITA FERREIRA DE ARAUJO;35;PARQUE JOQUEI CLUB;28020080;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99820536;RUA, BENEDITA FERREIRA DE ARAUJO, 35, PARQUE JOQUEI CLUB;-21.782;-41.301
23926540;1;4;1;-;2;20160107;0;20160107;4930201;-;RUA;M;10;RIO BRANCO;28110000;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;97207725;RUA, M, 10, RIO BRANCO;-21.728;-41.319
23927204;1;78;1;DROGARIA LEOPOLDINA;2;20160107;0;20160107;4771701;4772500;AVENIDA;PRESIDENTE KENNEDY;384;PARQUE JOQUEI CLUB;28020010;Campos dos Goytacazes;Rio de Janeiro;LOJA 03;RJ;5819;22;97095082;AVENIDA, PRESIDENTE KENNEDY, 384, PARQUE JOQUEI CLUB;-21.779;-41.291
23951177;1;79;1;-;2;20160112;0;20160112;1091102;4729699;RUA;CARLOS BRUNO;204;CUSTODOPOLIS;28085110;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;97532404;RUA, CARLOS BRUNO, 204, CUSTODOPOLIS;-21.724;-41.309
23962554;1;75;1;-;2;20160113;0;20160113;4781400;4763601,4755503,4755502;RUA;MIGUEL JOSE ASSAD;212;PARQUE CEASA;28090511;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99651393;RUA, MIGUEL JOSE ASSAD, 212, PARQUE CEASA;-21.717;-41.303
32467086;16;30;2;SICOOB SUL;2;20160122;0;20160122;6424703;-;RUA;VOLUNTARIOS DA PATRIA;500;CENTRO;28035260;Campos dos Goytacazes;Rio de Janeiro;PARQUE AV.PELINCA LOJA 09;RJ;5819;28;35263109;RUA, VOLUNTARIOS DA PATRIA, 500, CENTRO;-21.762;-41.333
24083442;1;7;1;RASKIM ALIMENTOS;2;20230321;0;20160129;4729699;-;RUA;CAPITAO JULIO NOGUEIRA;40;PARQUE JARDIM CARIOCA;28080470;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27220000;RUA, CAPITAO JULIO NOGUEIRA, 40, PARQUE JARDIM CARIOCA;-21.746;-41.324
14454982;1;4;1;-;2;20111013;0;20111013;8599604;5819100,6399200,4789001,7319002,4772500,1099605,8592999,1813099,5811500,8599699,8712300,5912099,4729699,9602502,4761001;RUA;VOLUNTARIOS DA PATRIA;263;CENTRO;28035260;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;97339873;RUA, VOLUNTARIOS DA PATRIA, 263, CENTRO;-21.757;-41.330
24103321;1;80;1;-;2;20160202;0;20160202;8599603;9511800;RUA;DIONISIO AUGUSTO DE OLIVEIRA;67;PARQUE JULIAO NOGUEIRA;28053622;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27325971;RUA, DIONISIO AUGUSTO DE OLIVEIRA, 67, PARQUE JULIAO NOGUEIRA;-21.750;-41.350
24103356;1;19;1;-;2;20160202;0;20160202;4772500;-;RUA;CORONEL JOAO TAVARES;138;PARQUE CORRIENTES;28053160;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;98276187;RUA, CORONEL JOAO TAVARES, 138, PARQUE CORRIENTES;-21.744;-41.354
24152153;1;12;1;-;2;20220526;0;20160212;4755503;-;RUA;EMIR TAMEGA;56;HORTO MUNICIPAL;28015540;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;81699669;RUA, EMIR TAMEGA, 56, HORTO MUNICIPAL;-21.761;-41.300
24177105;1;89;1;ASSOCIACAO DE MORADORES DA MARGEM DA LINHA DO RIO;2;20220803;0;20150617;9430800;-;RUA;ANTONIO ALVES POUBEL;278;PARQUE SAO CAETANO;28030345;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99723072;RUA, ANTONIO ALVES POUBEL, 278, PARQUE SAO CAETANO;-21.757;-41.347
24177582;1;44;1;-;2;20151202;0;20151202;8112500;-;AVENIDA;DOUTOR LOURIVAL MARTINS BEDA;1162;DONANA;28110000;Campos dos Goytacazes;Rio de Janeiro;1180;RJ;5819;21;32891360;AVENIDA, DOUTOR LOURIVAL MARTINS BEDA, 1162, DONANA;-21.806;-41.296
80558539;4;42;2;-;2;20160216;0;20160216;4930202;-;AVENIDA;ALBERTO TORRES;854;PARQUE LEOPOLDINA;28053587;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27251686;AVENIDA, ALBERTO TORRES, 854, PARQUE LEOPOLDINA;-21.747;-41.348
24185116;1;0;1;-;2;20241002;0;20160217;5620104;-;RUA;TEIXEIRA DE FREITAS;126;PARQUE SAO CAETANO;28030395;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99825226;RUA, TEIXEIRA DE FREITAS, 126, PARQUE SAO CAETANO;-21.759;-41.344
23803438;1;3;1;LB COMERCIO E SEVICOS;2;20151207;0;20151207;4724500;9329899,8592999,8230001,4723700,8599699,9313100;RUA;TEOFILO GOUVEIA;100;PARQUE TURF CLUB;28015166;Campos dos Goytacazes;Rio de Janeiro;SALA 101;RJ;5819;22;98323132;RUA, TEOFILO GOUVEIA, 100, PARQUE TURF CLUB;-21.768;-41.313
40432544;853;80;2;CLARO;2;20140814;0;20140814;6120501;4652400,4752100,6110801,6110803,6141800,6810202,7112000,7490104;RUA;CARLOS LACERDA;440;CENTRO;28010242;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;11;43134620;RUA, CARLOS LACERDA, 440, CENTRO;-21.767;-41.324
24256136;1;25;1;-;2;20160225;0;20160225;4520006;-;RUA;SEVERINO COUTINHO;213;PARQUE PRAZERES;28080135;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;98540072;RUA, SEVERINO COUTINHO, 213, PARQUE PRAZERES;-21.745;-41.301
24257403;1;89;1;PATRICIA MARTINS CORTINAS SOB MEDIDA;2;20160226;0;20160226;4759801;4755501,4759899,4754701,1351100,1340599;RUA;OVIDIO MANHAES;112;CENTRO;28013290;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27362249;RUA, OVIDIO MANHAES, 112, CENTRO;-21.760;-41.314
24259190;1;24;1;-;2;20240906;0;20160226;2542000;9001902,2512800,3299004,4330499,2539001,4329101,8592999,8230001;RUA;CAIO PRADO JUNIOR;94;PARQUE NOVO JOCKEY;28020827;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99817176;RUA, CAIO PRADO JUNIOR, 94, PARQUE NOVO JOCKEY;-21.778;-41.282
24261395;1;44;1;-;2;20160225;0;20160225;8599604;4645101,4645103,4645102,4773300,4772500,4754701,4759899,4771701,8599699,8299799,3329501;AVENIDA;ALBERTO TORRES;675;PARQUE LEOPOLDINA;28051286;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27360222;AVENIDA, ALBERTO TORRES, 675, PARQUE LEOPOLDINA;-21.749;-41.344
24315173;1;67;1;-;2;20160304;0;20160304;9602502;-;RUA;IDOLINO NUNES BRASILEIRO;81;PARQUE CALIFORNIA;28015130;Campos dos Goytacazes;Rio de Janeiro;CASA;RJ;5819;22;27350742;RUA, IDOLINO NUNES BRASILEIRO, 81, PARQUE CALIFORNIA;-21.764;-41.304
24316134;1;84;1;-;2;20160304;0;20160304;5620103;-;AVENIDA;28 DE MARCO;37;PARQUE FAZENDINHA;28027130;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99627165;AVENIDA, 28 DE MARCO, 37, PARQUE FAZENDINHA;-21.764;-41.333
24337226;1;40;1;-;2;20160308;0;20160308;4781400;4722901,4755502,4724500,4755503,4763601,5611203,4744099;AREA;RURAL;0;-;-;Campos dos Goytacazes;Rio de Janeiro;LOJA 06;-;0;0;0;AREA, RURAL, 0, -;-21.739;-41.350
24344070;1;25;1;-;2;20160217;0;20160217;4619200;4614100;RUA;FELISMINDO PECANHA;136;PARQUE PENHA;28020056;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99749749;RUA, FELISMINDO PECANHA, 136, PARQUE PENHA;-21.798;-41.295
24362992;1;65;1;-;2;20210828;0;20160311;7420001;-;AVENIDA;ALBERTO LAMEGO - ATE 852 - LADO PAR;630;PARQUE CALIFORNIA;28016812;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99202584;AVENIDA, ALBERTO LAMEGO - ATE 852 - LADO PAR, 630, PARQUE CALIFORNIA;-21.762;-41.301
24399174;1;37;1;-;2;20160316;0;20160316;5612100;-;AVENIDA;NOSSA SENHORA DO CARMO;0;PARQUE AURORA;28025486;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99452454;AVENIDA, NOSSA SENHORA DO CARMO, SN, PARQUE AURORA;-21.779;-41.324
24417567;1;26;1;-;2;20240617;0;20160318;7319002;-;AVENIDA;CRISTOVAN LYSANDRO DE ALBERNAZ;266;PARQUE GUARUS;28070577;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;96038045;AVENIDA, CRISTOVAN LYSANDRO DE ALBERNAZ, 266, PARQUE GUARUS;-21.716;-41.323
39825583;5;59;2;-;2;20160329;0;20160329;4530703;4541206,4530705,4732600,4520001,4520002,4520003;AVENIDA;CARLOS ALBERTO CHEBABE;530;PARQUE GUARUS;28070271;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27317265;AVENIDA, CARLOS ALBERTO CHEBABE, 530, PARQUE GUARUS;-21.726;-41.321
24485206;1;17;1;-;2;20160330;0;20160330;1359600;-;RUA;JOAO BATISTA SEIXAS;107;PARQUE ESPLANADA;28055540;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99664900;RUA, JOAO BATISTA SEIXAS, 107, PARQUE ESPLANADA;-21.750;-41.363
24498268;1;63;1;-;2;20160331;0;20160331;4781400;5611203,477;AVENIDA;MEM DE SA;7;FAROL DE SAO TOME;28140973;Campos dos Goytacazes;Rio de Janeiro;CASA 07 FUNDOS;RJ;5819;22;99644919;AVENIDA, MEM DE SA, 7, FAROL DE SAO TOME;-21.800;-41.289
24501590;1;2;1;-;2;20160401;0;20160401;4712100;-;TRAVESSA;CARNEIRO;85;PARQUE JARDIM CARIOCA;28083650;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99722464;TRAVESSA, CARNEIRO, 85, PARQUE JARDIM CARIOCA;-21.729;-41.320
24506825;1;40;1;ANGELICA WILLEMEN;2;20160401;0;20160401;4789001;4618499,4755502,4772500,4781400,4782201,4785799;RUA;BARAO DO AMAZONAS;75;CENTRO;28010030;Campos dos Goytacazes;Rio de Janeiro;SALA 01;RJ;5819;22;27227088;RUA, BARAO DO AMAZONAS, 75, CENTRO;-21.757;-41.325
24556303;1;53;1;-;2;20160330;0;20160330;4110700;6810202,6810201,6810203;RUA;SAO JERONIMO;380;PARQUE ROSARIO;28027130;Campos dos Goytacazes;Rio de Janeiro;PARTE;RJ;5819;22;27333430;RUA, SAO JERONIMO, 380, PARQUE ROSARIO;-21.775;-41.330
24561510;1;4;1;-;2;20151218;0;20151218;6911701;-;RUA;BARAO DE MIRACEMA;301;CENTRO;28035301;Campos dos Goytacazes;Rio de Janeiro;APT 703;RJ;5819;22;27201132;RUA, BARAO DE MIRACEMA, 301, CENTRO;-21.760;-41.330
24563767;1;97;1;-;2;20160407;0;20160407;6920601;6201501,6920602,7020400,8211300,8219999;RUA;DR. LUIZ SOBRAL;52;PARQUE TAMANDARE;28035115;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;30523437;RUA, DR. LUIZ SOBRAL, 52, PARQUE TAMANDARE;-21.756;-41.338
24579218;1;0;1;EQUILIBRIUM;2;20160412;0;20160412;9313100;-;RUA;DOS GOYTACAZES;882;PARQUE TURF CLUB;28027231;Campos dos Goytacazes;Rio de Janeiro;FRENTE;RJ;5819;22;97233386;RUA, DOS GOYTACAZES, 882, PARQUE TURF CLUB;-21.775;-41.322
24583716;1;27;1;ASSOCIACAO ALPHAVILLE CAMPOS DOS GOYTACAZES;2;20140815;0;20140815;9499500;-;ESTRADA;DO ACUCAR;820;PARQUE PENHA;28022560;Campos dos Goytacazes;Rio de Janeiro;QUADRAC01 LOTE EQ01;RJ;5819;11;31515068;ESTRADA, DO ACUCAR, 820, PARQUE PENHA;-21.797;-41.291
24586207;1;58;1;-;2;20160413;0;20160413;9700500;-;RUA;ANTONIO GOMES;146;SANTO AMARO DE CAMPOS;28140000;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;98014595;RUA, ANTONIO GOMES, 146, SANTO AMARO DE CAMPOS;-21.984;-41.131
24602728;1;51;1;-;2;20160415;0;20160415;2542000;5620104,5612100,4724500,1052000,1013901,0161003;ESTRADA;MARGARIDA;0;LAGOA DE CIMA;28110000;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;98612921;ESTRADA, MARGARIDA, S/N, LAGOA DE CIMA;-21.766;-41.522
24611677;1;24;1;-;2;20160417;0;20160417;4330499;-;AVENIDA;LOURIVAL MARTINS BEDA;668;DONANA;28110000;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99570345;AVENIDA, LOURIVAL MARTINS BEDA, 668, DONANA;-21.819;-41.294
10417800;1;66;1;FORMATTO DESIGNER;2;20220502;0;20080929;4754701;4753900,9529105,3329501;RUA;DOUTOR ALVARO DE LACERDA;82;CENTRO;28013440;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27352722;RUA, DOUTOR ALVARO DE LACERDA, 82, CENTRO;-21.762;-41.316
24626911;1;97;1;-;2;20160419;0;20160419;4929902;4924800,4520007,4520008,4520005,9609299;AVENIDA;LOURIVAL MARTINS BEDA;19;PARQUE IMPERIAL;28110000;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;98494585;AVENIDA, LOURIVAL MARTINS BEDA, 19, PARQUE IMPERIAL;-21.789;-41.301
24640578;1;70;1;-;2;20241216;0;20160420;7319099;7319002,813;RUA;SILVIO FONTOURA;21;PARQUE JOAO MARIA;28027370;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;98453026;RUA, SILVIO FONTOURA, 21, PARQUE JOAO MARIA;-21.777;-41.319
24643001;1;12;1;-;2;20160111;0;20160111;8112500;-;RUA;DOUTOR LACERDA SOBRINHO;282;CENTRO;28010077;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27243403;RUA, DOUTOR LACERDA SOBRINHO, 282, CENTRO;-21.765;-41.328
24662614;1;5;1;-;2;20160426;0;20160426;4930201;4929902;AVENIDA;DEPUTADO BARTOLOMEU LIZANDRO;1410;PARQUE JARDIM CARIOCA;28080390;Campos dos Goytacazes;Rio de Janeiro;FUNDOS .;RJ;5819;22;99461608;AVENIDA, DEPUTADO BARTOLOMEU LIZANDRO, 1410, PARQUE JARDIM CARIOCA;-21.750;-41.325
24708808;1;96;1;-;2;20160503;0;20160503;5620104;-;RUA;SENADOR VIANA;182;PARQUE LEOPOLDINA;28051155;Campos dos Goytacazes;Rio de Janeiro;CASA 03 ALTOS;RJ;5819;22;97126881;RUA, SENADOR VIANA, 182, PARQUE LEOPOLDINA;-21.748;-41.335
24722673;1;13;1;-;2;20160504;0;20160504;5590699;-;RUA;DOM HENRIQUE MOURAO;28;PARQUE LEOPOLDINA;28051235;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27322184;RUA, DOM HENRIQUE MOURAO, 28, PARQUE LEOPOLDINA;-21.752;-41.341
24735780;1;86;1;-;2;20250609;0;20160505;5611203;-;PRACA;NOSSA SENHORA DAS DORES;0;DORES DE MACABU;28110000;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;97978575;PRACA, NOSSA SENHORA DAS DORES, SN, DORES DE MACABU;-21.988;-41.507
19901814;1;25;1;-;2;20140318;0;20140318;9602501;9602502;RUA;GERALDINO SOARES DE SOUZA;11;PARQUE JOQUEI CLUB;28020680;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;27231192;RUA, GERALDINO SOARES DE SOUZA, 11, PARQUE JOQUEI CLUB;-21.776;-41.288
24743753;1;55;1;-;2;20241126;0;20160506;4321500;3314707,432;RUA;JOSE AMARO PECANHA;32;PARQUE JOQUEI CLUB;28020320;Campos dos Goytacazes;Rio de Janeiro;CASA;RJ;5819;22;99289131;RUA, JOSE AMARO PECANHA, 32, PARQUE JOQUEI CLUB;-21.777;-41.290
24784276;1;76;1;E-KIK MEDICINA INTERNA;2;20160512;0;20160512;8610101;8630503,861;RUA;CONSELHEIRO OTAVIANO;115;CENTRO;28010140;Campos dos Goytacazes;Rio de Janeiro;SALA 401;RJ;5819;22;27232249;RUA, CONSELHEIRO OTAVIANO, 115, CENTRO;-21.764;-41.325
24798872;1;5;1;MILLI CAMPOS DOS GOYTACAZES;2;20160513;0;20160513;4782201;4781400,479;RUA;BARAO DO AMAZONAS;194;CENTRO;28010030;Campos dos Goytacazes;Rio de Janeiro;LOJA F;RJ;5819;22;99993672;RUA, BARAO DO AMAZONAS, 194, CENTRO;-21.761;-41.327
24802037;1;0;1;-;2;20250416;0;20160516;4712100;-;RUA;SALVADOR CORREIA;0;CENTRO;28035310;Campos dos Goytacazes;Rio de Janeiro;BANCA 3;RJ;5819;22;27250039;RUA, SALVADOR CORREIA, sn, CENTRO;-21.755;-41.330
24805527;1;51;1;-;2;20160516;0;20160516;9602501;-;ESTRADA;SAO MARTINHO;0;GOITACAZES;28110000;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;97400785;ESTRADA, SAO MARTINHO, SN, GOITACAZES;-22.015;-41.220
24869256;1;6;1;-;2;20160524;0;20160524;9602501;9602502,477;RUA;DOUTOR BEDA;706;PARQUE ROSARIO;28025812;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99787752;RUA, DOUTOR BEDA, 706, PARQUE ROSARIO;-21.786;-41.328
24869493;1;69;1;RS REPRESENTACOES;2;20160512;0;20160512;4617600;4618499,4619200,6821801,8219999;RUA;JOSE BONAPARTE VIEIRA;20;PARQUE JOQUEI CLUB;28020285;Campos dos Goytacazes;Rio de Janeiro;SALA FRENTE;RJ;5819;22;27236878;RUA, JOSE BONAPARTE VIEIRA, 20, PARQUE JOQUEI CLUB;-21.779;-41.292
24876422;1;93;1;PADARIA TAVARES;2;20160524;0;20160524;4721102;-;RUA;CORA DE ALVARENGA;56;PARQUE LEOPOLDINA;28051272;Campos dos Goytacazes;Rio de Janeiro;FRENTE;RJ;5819;22;99716475;RUA, CORA DE ALVARENGA, 56, PARQUE LEOPOLDINA;-21.751;-41.342
23100331;1;7;1;PAO DE MEL;2;20230920;0;20150819;5612100;4930201;RUA;NILO PESSANHA;109;MORRO DO COCO 12 DISTRITO;28178000;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;96028234;RUA, NILO PESSANHA, 109, MORRO DO COCO 12 DISTRITO;-21.417;-41.283
24901421;1;51;1;-;2;20221103;0;20160413;9493600;8230001,9102301,9101500;RUA;GASTAO MACHADO;66;CENTRO;28035120;Campos dos Goytacazes;Rio de Janeiro;CONJ 506;RJ;5819;22;99999999;RUA, GASTAO MACHADO, 66, CENTRO;-21.749;-41.330
24937882;1;84;1;-;2;20160604;0;20160604;8230002;8230001,4723700,7319099,5611201,5611204;RUA;NAZARIO PEREIRA GOMES;541;PARQUE GUARUS;28070205;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;97284491;RUA, NAZARIO PEREIRA GOMES, 541, PARQUE GUARUS;-21.727;-41.324
24948324;1;14;1;-;2;20241003;0;20160607;4618499;4761003,479;RUA;JOAO PINHEIRO;0;MORRO DO COCO;28178970;Campos dos Goytacazes;Rio de Janeiro;-;RJ;5819;22;99826073;RUA, JOAO PINHEIRO, SN, MORRO DO COCO;-21.376;-41.346
24989183;1;88;1;XICO TROLHA;2;20160511;0;20160511;9491000;9499500;RUA;ANTONIO HENRIQUES;0;SATURNINO BRAGA;28143971;Campos dos Goytacazes;Rio de Janeiro;LOTE 05;RJ;5819;22;27252236;RUA, ANTONIO HENRIQUES, S/N, SATURNINO BRAGA;-21.888;-41.198
